LatrineID,LONGITUDE_latrine,LATITUDE_latrine,BARIID,unsanitary,sanitary,SEPTIC_RIN,PIPE,DOUBLE_RIN,DRAIN_IN_P,PRIVATE,FAILING,NEAR_DISCH,WATER_BODY,POND_DISTA,POND_VERTI,LONGITUD_Well,LATITUDE_Well,Well_ID,CONCRETE_B,Platform,PRIVATE_1,DEEPWELL,DRINKING,DEPTH_FT,YEAR_INSTALL,Well_age,NEAREST_WA,POND_HD,POND_VD,LAT_HD,LAT_VD,LATRINE_TY,Dist_wellatrine,Unsan100m,SAN100m,Totlatr100m,Village,Longitude,Latitude,Depth,As,Nodrinking,Pop25m,Pop50m,Pop100m,Pop200m,Priming,prime,date,r7,r15,r30,hr7,hr15,hr30,t7,t15,t30,hot7,hot15,hot30,place,r3,hr3,t3,hot3,dateid,ECMPN,ecdetect,month,year,sampleid,WELLID,OBSDATE,TEMP,EC,DO_MGL,PH,ORP,SO4,TCMPND,day,UBA,WTA,ACA,SHA,BRA,WEA,DIST,URBAN,WATER,AGR,SHRUB,BARREN,WETLAND,date0,Rain,HR,Tair,hotday,popden100,ECMPN10,logEC
634,90.64418297,23.37062689,D98028,0,1,1,1,1,0,1,0,1,1,2.5,-1.6,90.64423001,23.37065111,21791,0,3,1,0,0,55,2000,8,1,4.6,-2.2,0,0,1,5.82,15,19,34,Barahaldia,90.64423001,23.37065111,16.5,125,0,28,66,205,665,0,0,406,0.6,3.92,4.38,0,1,2,30.65,29.95,30.12,5,10,20,1,0,0,31.47,3,4061,24.2,1,5,2009,21791905,21791,5/11/2009,26.36,1.647,0.92,8.62,70.6,0,101.784,11,5529.31,10532.84,2538.15,10589.29,1653.12,532.07,100,17.61,33.54,8.08,33.72,5.26,1.69,11-May-09,30.33,1,27.48,0,8.783957365,242,2.383815366
664,90.64803743,23.36975156,D98089,0,1,1,1,1,0,1,0,1,1,3.2,-1.2,90.6479383,23.36961259,21777,1,1,1,0,1,30,2008,0,2,0,0,17,0,1,18.78,3,12,15,Barahaldia,90.6479383,23.36961259,9,3,10,16,40,105,350,0.06,6,316,0.56,0.61,1.31,0,0,0,21.67,21.38,19.73,0,0,0,1,0,0,22.84,0,3161,24.9,1,2,2009,21777902,21777,2/10/2009,25.51,0.556,0.68,7.61,418.9,0,72.919,10,3988.09,4719.65,8241.92,10398.37,3922.65,104.21,100,12.7,15.03,26.25,33.12,12.49,0.33,10-Feb-09,2.67,0,19.4,0,8.114907736,249,2.396199347
664,90.64803743,23.36975156,D98089,0,1,1,1,1,0,1,0,1,1,3.2,-1.2,90.6479383,23.36961259,21777,1,1,1,0,1,30,2008,0,2,0,0,17,0,1,18.78,3,12,15,Barahaldia,90.6479383,23.36961259,9,3,10,16,40,105,350,0.06,6,558,16.32,11.19,9.72,2,3,5,27.83,28.63,28.28,0,2,3,1,16.25,1,27.98,0,5581,25.2,1,10,2009,21777910,21777,10/10/2009,26.22,0.325,0.65,6.32,116.9,0,150.761,10,3988.09,4719.65,8241.92,10398.37,3922.65,104.21,100,12.7,15.03,26.25,33.12,12.49,0.33,10-Oct-09,0,0,28.08,0,8.114907736,252,2.401400541
640,90.64410468,23.37256511,D98050,0,1,1,1,1,0,1,0,1,1,2.9,-1.6,90.64417289,23.37252311,21800,1,1,1,0,1,45,1990,18,2,0,0,7,0,1,8.81,24,24,48,Barahaldia,90.64417289,23.37252311,13.5,17,7,34,76,232,616,0,0,429,1.86,4.45,5.96,0,1,4,29.03,29.34,29.04,2,5,10,1,3.07,0,28.31,0,4291,25.5,1,6,2009,21800906,21800,6/3/2009,26.21,3.012,0.67,-9.99,434.5,0,68.377,3,4665.86,9632.05,3267.34,12602.35,732.68,474.71,100,14.86,30.68,10.41,40.13,2.33,1.51,3-Jun-09,47.4,1,27.2,0,8.907684758,255,2.40654018
641,90.64612022,23.37115797,D98061,0,1,1,1,1,0,1,0,1,1,3.4,-2.1,90.6460803,23.37124519,21764,1,1,1,0,0,50,1996,12,2,0,0,0,-2,1,10.55,18,16,34,Barahaldia,90.6460803,23.37124519,15,218,0,13,48,171,697,0.06,6,458,26.37,13.56,15.57,3,3,7,20.4,26.64,28.28,1,9,13,1,53.63,3,27.87,0,4581,25.7,1,7,2009,21764907,21764,7/2/2009,26.34,3.904,0.64,6.87,-814.2,0,817.671,2,5995.16,7330.42,4064.45,12432.06,1065.93,486.89,100,19.09,23.35,12.94,39.59,3.39,1.55,2-Jul-09,55.98,1,27.25,0,8.602610943,257,2.409933123
7,90.64464729,23.37083817,D98029,1,0,1,1,1,1,1,1,2,1,0,0,90.64451919,23.37083702,21759,0,3,1,0,0,50,2005,3,2,0,0,14,0,1,14.09,20,24,44,Barahaldia,90.64451919,23.37083702,15,88,0,15,70,272,756,0,0,243,1.22,1.76,2.1,0,0,0,22.29,22.2,23.56,0,0,0,1,1.2,0,22.63,0,2431,26,1,11,2008,21759811,21759,11/29/2008,25.81,1.498,0.85,7.32,348.7,0,139.112,29,7103.61,9613.18,1420.63,10334.71,2104.02,798.68,100,22.62,30.62,4.52,32.91,6.7,2.54,29-Nov-08,3.24,0,20.9,0,9.066749452,260,2.414973348
40,90.64348671,23.37176475,D98034,1,0,1,1,1,1,1,1,1,1,0.5,-0.4,90.64368614,23.37178763,21797,0,3,1,0,1,45,2002,6,1,22.2,-1.6,21,0,1,22.08,13,20,33,Barahaldia,90.64368614,23.37178763,13.5,1,30,43,98,257,645,0.25,25,38,4.11,1.97,1.22,0,0,0,29.42,30.08,29.84,2,9,14,1,6.68,0,29.6,1,381,26.7,1,5,2008,21797805,21797,5/8/2008,27.37,1.094,0.25,6.83,48.7,0.231046931,27.463,8,5016.97,7168.36,3792.98,13163.43,1436.67,796.36,100,15.98,22.83,12.08,41.92,4.58,2.54,8-May-08,0,0,28.83,0,9.010023471,267,2.426511261
512,90.65421773,23.35298056,C00128,0,1,1,1,1,0,1,0,3,0,0,0,90.65426429,23.3530229,21689,0,3,1,0,1,45,1999,9,3,0,0,0,0,1,6.92,2,4,6,Sardarkandi,90.65426429,23.3530229,13.5,32,6,6,23,40,346,0,0,137,19.85,11.13,11.35,2,2,5,29.04,29.28,25.2,1,3,4,1,2.05,0,28.94,0,1371,27.3,1,8,2008,21689808,21689,8/15/2008,27.11,0.279,3.78,6.87,304.5,14,93.746,15,5037.14,5214.27,9584.67,7231.51,3866.12,441.27,100,16.04,16.61,30.52,23.03,12.31,1.41,15-Aug-08,0,0,28.38,0,7.14982684,273,2.436162647
400,90.6467735,23.36986654,D98066,1,0,0,0,0,0,1,0,1,1,2,-0.8,90.64674084,23.36981092,21781,1,1,1,0,1,55,2000,8,2,0,0,0,0,0,7.1,4,13,17,Barahaldia,90.64674084,23.36981092,16.5,21,47,24,35,97,523,0,0,407,4.93,5.95,5.39,1,2,3,30.42,29.64,30.02,5,9,19,1,10.11,1,30.09,2,4071,28.3,1,5,2009,21781905,21781,5/12/2009,26.38,1.733,0.75,9.76,260.1,0,47.319,12,3014.05,8428.86,4921.27,14144.31,696.79,169.59,100,9.6,26.84,15.67,45.05,2.22,0.54,12-May-09,0,0,27.3,0,8.035658365,283,2.451786436
297,90.62776041,23.36182659,D89025,1,0,1,1,0,0,1,1,1,1,10.2,-1.6,90.62782148,23.36189275,21734,1,1,1,0,0,35,1998,10,3,0,0,0,-1,2,9.9,10,12,22,Namapara,90.62782148,23.36189275,10.5,21,0,28,90,212,384,0.06,6,431,8.63,7.61,7.54,1,2,5,28.78,29.09,28.97,1,4,9,1,15.8,1,28.87,0,4311,28.8,1,6,2009,21734906,21734,6/5/2009,26.37,4.775,0.76,14.68,-31.3,77,356.548,5,9951.37,2713.2,7690.65,1653.31,5541.53,3824.86,100,31.69,8.64,24.49,5.27,17.65,12.18,5-Jun-09,0,0,29.95,0,8.817533661,288,2.459392488
